fight_id,fighter_id,fighter,kd,sub_att,rev,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_seconds
0f2983fe7753403f,0c258d1d8e16e5f1,Kevin Natividad,1,0,0,41.0,81.0,61.0,109.0,7.0,13.0,33.0,70.0,5.0,7.0,3.0,4.0,23.0,55.0,5.0,9.0,13.0,17.0,300.0
537a5aa4c248830e,8866c6f509c19089,Ryan Hall,0,7,3,40.0,49.0,163.0,180.0,0.0,2.0,22.0,31.0,18.0,18.0,0.0,0.0,7.0,12.0,1.0,1.0,32.0,36.0,337.0
537a5aa4c248830e,34e516ab361afb1c,Darrick Minner,0,0,1,26.0,45.0,56.0,78.0,1.0,1.0,16.0,33.0,6.0,7.0,4.0,5.0,17.0,31.0,3.0,3.0,6.0,11.0,298.0
2c01f4df404ff6ee,84b3e7d38f2d2ec5,Neil Magny,0,0,0,68.0,131.0,132.0,204.0,4.0,9.0,59.0,121.0,6.0,7.0,3.0,3.0,46.0,101.0,7.0,11.0,15.0,19.0,243.0
2c01f4df404ff6ee,5866fc86183a9fb8,Erick Silva,0,0,0,29.0,59.0,37.0,68.0,3.0,4.0,10.0,36.0,5.0,8.0,14.0,15.0,27.0,55.0,2.0,3.0,0.0,1.0,165.0
ca263e46051261e2,d247691a6c0e9034,Cub Swanson,1,0,0,43.0,66.0,50.0,74.0,2.0,2.0,24.0,45.0,9.0,10.0,10.0,11.0,28.0,48.0,5.0,5.0,10.0,13.0,68.0
ca263e46051261e2,3c0437fbeda06962,George Roop,0,0,0,35.0,99.0,44.0,108.0,0.0,1.0,15.0,63.0,12.0,23.0,8.0,13.0,28.0,88.0,6.0,10.0,1.0,1.0,7.0
7595aabe89020780,7be14eaed4c74856,Brian Kelleher,0,1,0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
7595aabe89020780,90e0985df05e51bc,Ray Rodriguez,0,0,0,1.0,5.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,12.0
7c2a02b5ea169b54,7be14eaed4c74856,Brian Kelleher,1,0,0,38.0,77.0,67.0,123.0,6.0,8.0,25.0,58.0,12.0,17.0,1.0,2.0,25.0,58.0,3.0,5.0,10.0,14.0,386.0
7c2a02b5ea169b54,35b3772629e27a49,Kevin Croom,0,0,0,60.0,174.0,83.0,206.0,0.0,1.0,36.0,141.0,11.0,16.0,13.0,17.0,58.0,168.0,2.0,6.0,0.0,0.0,47.0
01c9acf719298187,4e06913c91da5200,Krzysztof Jotko,0,0,0,24.0,74.0,40.0,90.0,0.0,3.0,18.0,62.0,3.0,6.0,3.0,6.0,13.0,55.0,11.0,19.0,0.0,0.0,46.0
01c9acf719298187,0c6d9ea8306c029e,Brad Tavares,1,0,0,46.0,96.0,62.0,115.0,0.0,1.0,23.0,64.0,6.0,15.0,17.0,17.0,33.0,76.0,7.0,10.0,6.0,10.0,153.0
03e5127d4832750c,37c5366d18ed6c05,Roosevelt Roberts,0,3,0,40.0,61.0,54.0,76.0,1.0,3.0,27.0,45.0,7.0,10.0,6.0,6.0,25.0,46.0,2.0,2.0,13.0,13.0,184.0
03e5127d4832750c,7c9f96f9a6a5cd50,Brok Weaver,0,0,0,14.0,48.0,26.0,62.0,0.0,0.0,5.0,35.0,9.0,11.0,0.0,2.0,10.0,41.0,4.0,7.0,0.0,0.0,140.0
b1dee00c3052e65e,64a50dad704d1d49,Edson Barboza,0,0,0,56.0,136.0,63.0,144.0,1.0,1.0,23.0,84.0,10.0,22.0,23.0,30.0,52.0,127.0,0.0,0.0,4.0,9.0,39.0
b1dee00c3052e65e,aa5b4eff51bdc7d1,Gilbert Melendez,0,0,0,39.0,129.0,42.0,135.0,0.0,5.0,35.0,120.0,3.0,7.0,1.0,2.0,36.0,125.0,1.0,2.0,2.0,2.0,4.0
5f617d6c19d3a281,751de04455cfaac0,Calvin Kattar,1,0,0,85.0,194.0,86.0,195.0,0.0,1.0,73.0,174.0,5.0,10.0,7.0,10.0,79.0,182.0,1.0,2.0,5.0,10.0,13.0
5f617d6c19d3a281,98d961097baaf308,Shane Burgos,0,0,0,89.0,186.0,91.0,188.0,0.0,0.0,46.0,126.0,25.0,38.0,18.0,22.0,86.0,182.0,3.0,4.0,0.0,0.0,0.0
4eafb2657c3781f5,1f454354805b6f75,Anderson Silva,1,0,0,13.0,13.0,13.0,13.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,8.0,8.0,6.0
4eafb2657c3781f5,a7f4d0902bb64092,James Irvin,0,0,0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
