fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio
Ed Herman,06f36cf4bd97ec77,2023-04-15,Light Heavyweight,0.4,10,-2,7.614257962185758,0.21481436772735568,0.07047120418848167,9.983673624075347,0.04,5.555214126300127,1.7421602122313775,0.3168836236542537,0.051413612565445035,0.6320135646705445,0.19187842854768994,0.07610800678176564,0.6394470699526054,0.14330969883166736,0.11724323121572733
Eddie Alvarez,33a331684283900f,2018-07-28,Lightweight,0.625,8,-1,9.639277899343545,1.0211706783369803,0.2484682713347921,22.125,0.025,7.5158096280087525,1.7492341356673962,0.37423413566739605,0.025,0.7996356354219257,0.1529296084739633,0.047434756104110944,0.5701272070223683,0.3079287535940762,0.1219440393835555
Eddie Gordon,8cad40a75e5c97f5,2015-06-27,Middleweight,0.25,4,-3,3.6652133580705013,0.26062152133580707,0.22653061224489796,33.57954545454545,0.05,2.501530612244898,0.15000000000000002,1.013682745825603,0.0,0.5963349713349713,0.024877149877149878,0.37878787878787873,0.9515765765765766,0.02759009009009009,0.020833333333333332
Eddie Mendez,49e49b54e5901d0d,2013-06-08,Middleweight,0.0,1,-1,0.8,0.0,0.0,4.4,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.25
Eddie Ruiz,7b9aa973e5c04624,2003-06-06,Lightweight,0.0,1,-1,0.42857142857142855,2.2857142857142856,0.2857142857142857,40.57142857142857,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666
Eddie Sanchez,7f0b4a75ef3039a3,2008-12-10,Heavyweight,0.5,6,-2,5.533928034552801,0.44587338950363353,0.1288184438040346,25.70331815415301,0.12544529262086515,2.098265027021874,2.3181057556225295,1.117557251908397,0.0,0.40614629273165853,0.37924067802116584,0.2146130292471756,0.8188654841093865,0.1230759078320054,0.058058608058608054
Eddie Wineland,fc9a9559a05f2704,2022-06-18,Bantamweight,0.3,10,-3,5.5200000000000005,0.1,0.02,0.9800000000000001,0.1,5.200000000000001,0.12,0.2,0.0,0.9471905688817455,0.012156593406593407,0.04065283771166124,0.6419042062424415,0.2771469433234139,0.08094885043414454
Eddie Yagin,cc84b68f862b466f,2012-04-21,Featherweight,0.5,2,1,9.104225352112676,0.0,0.0,9.856338028169015,0.2,7.933802816901409,0.07042253521126761,1.1,0.14084507042253522,0.8845238095238095,0.05,0.06547619047619048,0.8607142857142858,0.017857142857142856,0.12142857142857143
Edgar Garcia,8d49545dadf9b919,2016-01-02,Welterweight,0.0,4,-4,3.4499999999999997,0.35,0.2,10.7,0.0,2.25,0.35,0.8500000000000001,0.05,0.6106711915535445,0.08418174962292609,0.30514705882352944,0.8648190045248869,0.059577677224736045,0.07560331825037708
Edilberto de Oliveira,afdb76fbd86f6d11,2007-09-19,Welterweight,0.0,2,-2,5.1,0.5,0.0,2.0,0.0,5.0,0.1,0.0,0.0,0.9891304347826086,0.010869565217391304,0.0,0.3173913043478261,0.16304347826086957,0.5195652173913043
