fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio,win
Misha Cirkunov,67f272324a030d00,2021-10-01,Light Heavyweight,0.6,10,-1,3.22,0.38,0.22000000000000003,12.320000000000002,0.0,1.92,0.8400000000000001,0.45999999999999996,0.12,0.6282196969696969,0.23560606060606065,0.13617424242424242,0.6460813492063493,0.232747113997114,0.1211715367965368,False
Krzysztof Jotko,4e06913c91da5200,2021-10-01,Middleweight,0.6428571428571429,14,-1,7.062715384505206,0.547419887501816,0.16713653449119023,28.657142857142855,0.028571428571428574,3.6819708257710464,2.2871310507674143,1.0936135079667457,0.014285714285714287,0.5111633030851116,0.2846470953744996,0.20418960154038884,0.6723423731199147,0.22157104684916856,0.10608658003091678,True
Karol Rosa,351c4ec637380ad5,2024-08-09,Women's Bantamweight,0.6666666666666666,9,-1,17.3556774891628,0.3818967686947903,0.1564098339098848,32.97777777777778,0.044444444444444446,14.331907931403135,1.6548008853917788,1.3689686723678867,0.0,0.6913651721897336,0.1712241760838252,0.13741065172644118,0.6059535116363461,0.17033767370368677,0.22370881465996703,True
Pannie Kianzad,91dac5e69e28d5b5,2024-08-09,Women's Bantamweight,0.5,10,-2,12.318203592814374,0.23592814371257487,0.07796407185628743,22.46,0.0,9.853532934131739,2.184670658682635,0.27999999999999997,0.02,0.7230703971635054,0.2182668887389978,0.0586627140974967,0.6743638294243769,0.19787084863045507,0.127765321945168,False
Ashley Yoder,b4c6c904a9ffc5e8,2020-11-13,Women's Strawweight,0.2857142857142857,7,-2,7.439802518678881,0.5227895556670275,0.20496607439871162,39.885714285714286,0.028571428571428574,5.242109987591414,0.8972793515853948,1.3004131795020726,0.08571428571428572,0.703451636083215,0.10424487792908844,0.1923034859876965,0.6718371321660795,0.24302841894947158,0.08513444888444889,True
Miranda Granger,7559395ad833c074,2020-11-13,Women's Strawweight,0.5,2,-1,6.5,0.0,0.0,1.1,0.0,5.1000000000000005,1.4,0.0,0.0,0.8852459016393442,0.11475409836065574,0.0,0.3790983606557377,0.06557377049180328,0.555327868852459,False
Myles Jury,08e908ed6d18d6a0,2017-12-29,Featherweight,0.7777777777777778,9,1,3.8728702740823087,0.4877166979436855,0.26274409023718737,29.511111111111106,0.044444444444444446,2.260977835152181,0.10331297338863588,1.5085794655414908,0.03277074542897328,0.6650005925368244,0.018900181943660208,0.31609922551951536,0.6257387539996235,0.1062362758014932,0.26802497019888327,True
Ricky Glenn,814ff3018127e8fc,2017-12-29,Featherweight,0.6666666666666666,3,2,13.440860215053766,1.2344086021505378,0.17204301075268816,38.266666666666666,0.04301075268817204,6.533333333333334,2.8559139784946237,4.051612903225807,0.04301075268817204,0.5409397143248528,0.2294990099749692,0.22956127570017806,0.5942734212525373,0.2795731061879678,0.1261534725594949,False
Don Madge,68c7ad953455c73f,2019-09-06,Lightweight,1.0,1,1,4.2,0.0,0.0,6.4,0.4,2.4,0.6,1.2,0.2,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.047619047619047616,True
Sam Patterson,8b6e5dc2ba1edbe7,2025-09-05,Welterweight,0.75,4,3,1.7000000000000002,0.1,0.1,5.0,0.05,1.55,0.0,0.15,0.1,0.9583333333333334,0.0,0.041666666666666664,0.7916666666666666,0.08333333333333333,0.125,True
Trey Waters,31dbfbe4e7a6727c,2025-09-05,Welterweight,1.0,2,2,20.0,0.30000000000000004,0.1,2.7,0.0,19.6,0.30000000000000004,0.1,0.1,0.9799679487179487,0.015224358974358974,0.004807692307692308,0.905448717948718,0.06530448717948718,0.029246794871794872,False
Zach Reese,23dec7c47cb418f8,2025-11-07,Middleweight,0.6666666666666666,6,2,4.600840336134453,0.3521008403361345,0.20672268907563027,12.733333333333334,0.03333333333333333,3.229971988795518,0.35602240896358545,1.01484593837535,0.061344537815126055,0.5467094017094017,0.08226495726495726,0.371025641025641,0.5938888888888889,0.22222222222222224,0.18388888888888888,True
Jackson McVey,3eeec2f53cebdf12,2025-11-07,Middleweight,0.0,1,-1,0.8,0.2,0.0,1.6,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.25,0.0,False
Larissa Pacheco,16b89be2f5c16fba,2015-03-13,Women's Bantamweight,0.0,1,-1,1.2,0.2,0.0,0.0,0.0,0.6,0.2,0.4,0.0,0.5,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0,False
Germaine de Randamie,1d239d571e342453,2015-03-13,Women's Bantamweight,0.5,2,-1,5.1,0.0,0.0,23.2,0.0,1.7000000000000002,3.4,0.0,0.0,0.66,0.34,0.0,0.09,0.24,0.67,True
Victoria Leonardo,9dedfdd91070ddd8,2021-08-06,Women's Flyweight,0.0,1,-1,3.4,0.2,0.0,0.4,0.0,3.0,0.4,0.0,0.0,0.8823529411764706,0.11764705882352941,0.0,0.4117647058823529,0.17647058823529413,0.4117647058823529,False
Marc Diakiese,32c355b04fc57f3a,2021-11-12,Lightweight,0.5555555555555556,9,-1,7.5189433120628655,0.8864247728309036,0.3130028643333812,24.66666666666667,0.044444444444444446,6.446164052154212,0.7477878461909238,0.32499141371773005,0.0,0.8239552858180309,0.09483945430023862,0.08120525988173045,0.45381107998755055,0.2985229276895944,0.24766599232285508,False
Rafael Alves,029afd138865d20a,2021-11-12,Lightweight,0.0,1,-1,6.0,0.2,0.0,3.2,0.2,5.6,0.4,0.0,0.2,0.9333333333333333,0.06666666666666667,0.0,0.6666666666666666,0.2,0.13333333333333333,True
Court McGee,523fa774700d7d3f,2017-11-10,Welterweight,0.5833333333333334,12,-1,12.615725513795766,1.2537492704854925,0.3472761353104632,29.566666666666666,0.0,10.607548680091979,0.9095619154308583,1.0986149182729263,0.09374117918142803,0.7858685033469265,0.11473030710369385,0.09940118954937964,0.5903810445178642,0.19593267367071152,0.2136862818114242,False
Sean Strickland,0d8011111be000b2,2017-11-10,Welterweight,0.7142857142857143,7,-1,10.306904038211028,0.44958749457229696,0.22101606600086843,21.828571428571426,0.054624402952670424,7.919409465914026,0.9286148501953974,1.4588797221016068,0.0806773773339123,0.7565890859663771,0.0827136357186521,0.16069727831497077,0.8209800490198631,0.07336188535404377,0.10565806562609296,True
Thomas Almeida,2b074403b7c6cdb4,2015-11-06,Bantamweight,1.0,3,3,11.666666666666666,0.0,0.0,0.3333333333333333,0.06666666666666667,9.933333333333332,1.7333333333333334,0.0,0.0,0.86084229390681,0.13915770609318998,0.0,0.6491039426523297,0.2002688172043011,0.15062724014336917,True
Anthony Birchak,c5a126ace82a6025,2015-11-06,Bantamweight,0.5,2,1,2.0,0.1,0.1,3.4000000000000004,0.2,0.5,0.9,0.6000000000000001,0.0,0.15625,0.28125,0.5625,0.84375,0.0625,0.09375,False
Valentina Shevchenko,132deb59abae64b1,2021-09-24,Women's Flyweight,0.8333333333333334,12,7,7.892662781826712,0.7231546333167117,0.47353474101389276,44.583333333333336,0.016666666666666666,5.126427334724607,0.8531043417870438,1.9131311053150624,0.06901834688859466,0.5765618737196834,0.17010991782185356,0.25332820845846316,0.6119348795624723,0.19106153966939043,0.19700358076813737,True
Lauren Murphy,729d4bd5a6cd0a97,2021-09-24,Women's Flyweight,0.6363636363636364,11,5,10.430274852761606,0.5619891429688558,0.20016821538088808,33.41818181818182,0.018181818181818184,7.415580806675354,1.2988042823644421,1.7158897637218085,0.018181818181818184,0.6735225750883719,0.16228853664884452,0.16418888826278347,0.715545077344563,0.12421877273609337,0.1602361499193437,False
Paige VanZant,4d5197f331c47290,2016-08-26,Women's Strawweight,0.75,4,-1,6.635314226002153,0.6595899709865649,0.2506042213853259,46.3,0.0,1.4802742032113967,3.144519660887141,2.0105203619036147,0.13384116495349976,0.3236077640095056,0.40370419405331304,0.2726880419371814,0.5700326125938912,0.2782212896889905,0.15174609771711844,True
Bec Rawlings,907e60fd13407e1e,2016-08-26,Women's Strawweight,0.6666666666666666,3,2,11.09933774834437,0.3320088300220751,0.06622516556291391,32.93333333333333,0.0,7.305518763796909,2.7306843267108167,1.0631346578366445,0.06666666666666667,0.54394880481837,0.30547713156408807,0.1505740636175419,0.7513018382583599,0.16174164000250957,0.08695652173913043,False
Ricky Simon,5987b2458f4b5290,2022-07-15,Bantamweight,0.7777777777777778,9,4,6.513709662226174,1.6167257245908562,0.7872413905469918,45.17777777777778,0.06666666666666668,4.711855758654557,0.7426734683314197,1.0591804352401972,0.051628397841185183,0.6899260966562876,0.11741709090528306,0.19265681243842944,0.6418633700275013,0.17466867868846014,0.18346795128403867,True
Jack Shore,b8a85389d115e35a,2022-07-15,Bantamweight,1.0,5,5,10.321708521311946,1.6017838943390994,0.6603475479004997,58.0,0.08,7.436461924735923,1.0605045337717711,1.824742062804253,0.10753532182103612,0.6395180980938102,0.11943314057257086,0.24104876133361888,0.667535517955308,0.13217081935222866,0.20029366269246326,False
Vicente Luque,6d4b63c767106d3a,2022-04-15,Welterweight,0.8235294117647058,17,4,9.283394315458347,0.1302797426958473,0.06464160614128477,13.623529411764707,0.11764705882352941,8.051866418419868,0.537433502355964,0.6940943946825138,0.10478052248089569,0.795756271437788,0.07488118308246798,0.12936254547974393,0.5885771592380412,0.1477960018442985,0.2636268389176603,False
Belal Muhammad,b1b0729d27936f2f,2022-04-15,Welterweight,0.7333333333333333,15,2,11.010107507243783,1.0045924875885266,0.30318946577113004,29.373333333333335,0.0,9.472772242852875,0.6111826652921797,0.926152599098726,0.03224546722454672,0.8075710268167942,0.06568358308381053,0.12674539009939526,0.7584085729841574,0.11567712840823284,0.12591429860760966,True
Court McGee,523fa774700d7d3f,2022-01-14,Welterweight,0.5,18,1,12.628458454708188,1.1986222315188433,0.26905637412273764,29.11111111111111,0.01952861952861953,10.810227258589459,0.7730391856474665,1.0451920104712622,0.06939543070342269,0.7967359420570248,0.08980143928352392,0.11346261865945124,0.5452518451047554,0.20494963867838265,0.24979851621686203,True
Ramiz Brahimaj,3d074044a33825e7,2022-01-14,Welterweight,0.5,2,1,4.6,0.2,0.2,14.5,0.0,4.6,0.0,0.0,0.1,1.0,0.0,0.0,0.9444444444444444,0.03333333333333333,0.022222222222222223,False
Gerald Meerschaert,6ac9bc2953c47345,2017-02-18,Middleweight,1.0,1,1,2.8,0.4,0.0,13.0,0.0,1.6,0.6,0.6,0.2,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.9285714285714286,0.07142857142857142,0.0,True
Ryan Janes,b59037262c8fe060,2017-02-18,Middleweight,1.0,1,1,16.4,0.0,0.0,35.8,0.0,15.0,1.0,0.4,0.0,0.9146341463414634,0.06097560975609756,0.024390243902439025,0.6707317073170732,0.18292682926829268,0.14634146341463414,False
