fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio
Chance Rencountre,1ddb480b601cefb1,2026-02-07,Welterweight,0.5,4,-1,2.3390207715133533,0.5280415430267063,0.14451038575667657,22.150000000000002,0.0,2.0667655786350148,0.17225519287833826,0.1,0.05,0.8215579710144927,0.09510869565217392,0.08333333333333333,0.4610507246376812,0.32404891304347827,0.21490036231884058
Nicco Montano,1de9ad94de18eeaf,2026-02-07,Women's Bantamweight,0.5,2,-1,18.11320754716981,0.889487870619946,0.4851752021563342,60.0,0.0,15.121293800539082,1.2938005390835579,1.6981132075471699,0.08086253369272237,0.7749009620826259,0.10582908885116016,0.11926994906621391,0.5420203735144312,0.16652518392756083,0.2914544425580079
Jimi Manuwa,1e1dbd1cc5a7469e,2026-02-07,Light Heavyweight,0.5,12,-4,4.701094002094596,0.26248785228377064,0.049999999999999996,13.859061488673142,0.04951456310679612,2.920327492994424,1.698404049553247,0.08236245954692557,0.03284789644012945,0.6358158217777751,0.35023705499837204,0.013947123223852782,0.40032055378698644,0.22011470858621474,0.3795647376267988
Adlan Amagov,1e327b281ef6a745,2026-02-07,Welterweight,1.0,2,2,5.3,1.1,0.6,27.4,0.1,2.9,1.5,0.8999999999999999,0.0,0.4421052631578948,0.2982456140350877,0.2596491228070176,0.49122807017543857,0.16578947368421054,0.3429824561403509
Ulysses Gomez,1e35aa8955794580,2026-02-07,Flyweight,0.0,2,-2,5.1,0.8,0.0,3.0,0.0,4.8,0.3,0.0,0.0,0.90625,0.09375,0.0,0.33303571428571427,0.09375,0.5732142857142857
Alfonso Alcarez,1e38bba6738b7b10,2026-02-07,Lightweight,0.0,1,-1,5.062034739454094,0.2977667493796526,0.1488833746898263,18.759305210918114,0.0,1.3399503722084367,3.126550868486352,0.5955334987593052,0.0,0.2647058823529412,0.6176470588235294,0.11764705882352941,0.6176470588235294,0.17647058823529413,0.20588235294117646
Fares Ziam,1e4f273069fb9e85,2026-02-07,Lightweight,0.8,10,6,6.279948862963499,0.5780423700259856,0.24774473181090664,31.84509347594901,0.03675977653631285,4.4592733344582784,0.8011142356377157,1.0195612928675053,0.06734443786525243,0.7070329842079622,0.11316652261770135,0.1798004931743364,0.5987412330372284,0.1508953496009629,0.2503634173618088
Brunno Ferreira,1e719d4b676dc19a,2026-02-07,Middleweight,0.75,8,3,5.2,0.525,0.125,6.625,0.07500000000000001,4.75,0.22500000000000003,0.225,0.07500000000000001,0.9053629644033456,0.03453821880546018,0.06009881679119429,0.6068345388898928,0.15554093894611137,0.23762452216399588
Vik Grujic,1e7483dbff40b84b,2026-02-07,Welterweight,0.25,4,-2,3.1091881597341815,0.3708035334400389,0.13246753246753246,20.63706161233462,0.0,1.3312174564904673,1.7779707032437142,0.0,0.032467532467532464,0.5107949959644874,0.4892050040355125,0.0,0.8154661016949152,0.14272598870056497,0.04180790960451977
Justin James,1ea8df62b3f8fea6,2026-02-07,Lightweight,0.0,1,-1,1.7371937639198218,0.0,0.0,3.4743875278396437,0.0,0.40089086859688194,1.0690423162583518,0.26726057906458794,0.13363028953229397,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.6153846153846154,0.38461538461538464,0.0
Cheick Kongo,1eacf73d6a0055dc,2026-02-07,Heavyweight,0.6666666666666666,18,-1,5.204057803059438,0.31223524100371064,0.19208705074497703,30.535238404535715,0.044444444444444446,1.9408920393659193,1.971642708592717,1.2915230551008021,0.020011422890504046,0.3816728707814662,0.3558381066914497,0.20693346697152853,0.4077231684490982,0.2554645387647723,0.281256737230574
Pearl Gonzalez,1ebdcb7488d0ebee,2026-02-07,Women's Strawweight,0.0,2,-2,4.755975187009669,1.0166940339354131,0.18518518518518517,37.129629629629626,0.0,4.133369823024995,0.5300127713920817,0.09259259259259259,0.09259259259259259,0.8298298298298299,0.15665665665665665,0.013513513513513514,0.45245245245245247,0.11961961961961962,0.4279279279279279
