fight_id,fighter_id,fighter,kd,sig_str,sig_str_pct,total_str,td,td_pct,sub_att,rev,ctrl,head,body,leg,distance,clinch,ground
da26301ae3e7a9b1,5b5307450405abf0,Rick Story,1,168 of 315,53%,211 of 360,1 of 1,100%,0,0,0:36,81 of 211,58 of 73,29 of 31,137 of 270,24 of 33,7 of 12
208c5dc52ccfd47a,902ec2cc48c8ae8a,Julian Erosa,0,155 of 291,53%,163 of 300,3 of 5,60%,0,0,1:52,120 of 242,30 of 43,5 of 6,141 of 270,9 of 16,5 of 5
208c5dc52ccfd47a,b93c06d09d1c4ac0,Steven Peterson,0,148 of 247,59%,174 of 276,0 of 2,0%,2,0,0:44,113 of 204,15 of 17,20 of 26,133 of 227,15 of 19,0 of 1
958799d957945a3a,d1941565abf50b16,Jim Miller,1,48 of 92,52%,49 of 93,0 of 0,---,0,0,0:34,24 of 67,6 of 7,18 of 18,34 of 68,3 of 3,11 of 21
958799d957945a3a,37f560436d745c18,Nikolas Motta,0,21 of 57,36%,21 of 57,0 of 0,---,0,0,0:00,17 of 53,2 of 2,2 of 2,21 of 57,0 of 0,0 of 0
3d95b4f94ccffa96,8fd808923cffff82,Andre Fili,0,73 of 202,36%,75 of 205,0 of 2,0%,0,0,0:00,51 of 173,9 of 14,13 of 15,70 of 193,3 of 9,0 of 0
3d95b4f94ccffa96,751de04455cfaac0,Calvin Kattar,0,75 of 160,46%,80 of 166,2 of 3,66%,0,0,0:36,55 of 137,8 of 10,12 of 13,66 of 143,1 of 5,8 of 12
a072481f307dc8aa,025f0b1b58fbad01,Darko Stosic,0,26 of 55,47%,50 of 82,1 of 3,33%,0,0,5:12,23 of 50,3 of 5,0 of 0,12 of 33,11 of 16,3 of 6
a072481f307dc8aa,cc7040fe76f0ef91,Devin Clark,0,40 of 95,42%,90 of 149,2 of 11,18%,0,0,2:52,26 of 76,5 of 9,9 of 10,28 of 80,11 of 14,1 of 1
89b96bc5f3e824c5,0d5cc0170c1a7e71,Mick Parkin,0,95 of 156,60%,98 of 159,0 of 0,---,0,0,0:00,37 of 94,16 of 20,42 of 42,92 of 151,3 of 5,0 of 0
89b96bc5f3e824c5,f41b9f5efc7162d6,Jamal Pogues,0,36 of 135,26%,37 of 136,0 of 1,0%,0,0,1:17,22 of 119,4 of 6,10 of 10,34 of 132,2 of 3,0 of 0
cfb189e326553f0a,08af939f41b5a57b,Beneil Dariush,1,36 of 64,56%,36 of 64,0 of 2,0%,0,0,1:57,30 of 57,3 of 4,3 of 3,33 of 60,3 of 4,0 of 0
cfb189e326553f0a,df1eb4354d18a906,Scott Holtzman,0,9 of 18,50%,11 of 20,0 of 1,0%,0,0,0:24,4 of 12,3 of 4,2 of 2,9 of 18,0 of 0,0 of 0
f126491f024c1563,e9e1acc96536bb4f,Ricardo Funch,0,2 of 8,25%,4 of 10,0 of 0,---,0,0,0:00,1 of 6,0 of 1,1 of 1,2 of 8,0 of 0,0 of 0
f126491f024c1563,f5990c11974d8e9c,Mike Pyle,1,11 of 24,45%,14 of 27,0 of 0,---,0,0,0:03,6 of 19,3 of 3,2 of 2,6 of 16,2 of 2,3 of 6
6617170d3659b175,579fcdfcabd23a7b,Brian Stann,2,47 of 99,47%,77 of 135,0 of 0,---,0,0,1:42,26 of 73,4 of 6,17 of 20,32 of 75,0 of 0,15 of 24
6617170d3659b175,f8dc544e7077d014,Jorge Santiago,0,14 of 43,32%,16 of 45,0 of 2,0%,0,0,0:15,10 of 38,2 of 2,2 of 3,13 of 40,1 of 3,0 of 0
87ac0e5face106b4,3bc3f60b21cddc6a,Azamat Bekoev,0,24 of 77,31%,27 of 83,4 of 8,50%,0,0,3:18,18 of 71,4 of 4,2 of 2,22 of 75,2 of 2,0 of 0
87ac0e5face106b4,7674b836ce0698a0,Yousri Belgaroui,0,102 of 138,73%,110 of 148,1 of 1,100%,0,0,0:40,73 of 108,17 of 17,12 of 13,94 of 130,4 of 4,4 of 4
aef94727eb3897df,7bde387d50829adf,Eduardo Garagorri,0,65 of 115,56%,69 of 120,1 of 1,100%,0,0,2:09,46 of 84,11 of 21,8 of 10,51 of 99,8 of 10,6 of 6
aef94727eb3897df,2c2caf2f2bab9df5,Humberto Bandenay,0,32 of 71,45%,59 of 98,4 of 10,40%,0,0,3:33,23 of 62,9 of 9,0 of 0,26 of 65,6 of 6,0 of 0
ba8f219260e212f8,597499ac7a5aac62,Abdul-Kareem Al-Selwady,0,38 of 68,55%,50 of 84,3 of 7,42%,0,0,2:44,15 of 34,8 of 11,15 of 23,34 of 61,4 of 7,0 of 0
ba8f219260e212f8,8c169fbe1ac33637,Loik Radzhabov,1,39 of 90,43%,57 of 115,4 of 5,80%,0,0,1:27,33 of 72,6 of 15,0 of 3,18 of 63,2 of 2,19 of 25
87daaa6db4f6940c,abd5fb12437eda21,Ramazan Emeev,0,29 of 67,43%,67 of 114,4 of 12,33%,2,0,6:50,22 of 59,5 of 5,2 of 3,19 of 54,7 of 9,3 of 4
87daaa6db4f6940c,62f7097c04311193,Niklas Stolze,0,30 of 72,41%,41 of 85,1 of 1,100%,0,0,0:21,13 of 42,3 of 7,14 of 23,27 of 66,1 of 3,2 of 3
